ticker,date,fwd_log_ret
AA,2012-01-03,0.08212382695557707
AA,2012-01-04,0.07441010411794169
AA,2012-01-05,0.0829969572241187
AA,2012-01-06,0.11243130256139588
AA,2012-01-09,0.08533130552551427
AA,2012-01-10,0.10451265651221275
AA,2012-01-11,0.07306883458339986
AA,2012-01-12,0.04912553605971226
AA,2012-01-13,0.05170130892246627
AA,2012-01-17,0.04016599103234375
AA,2012-01-18,0.020762063438014344
AA,2012-01-19,0.026259387496981645
AA,2012-01-20,0.05935010458917178
AA,2012-01-23,0.04965493168113966
AA,2012-01-24,0.041165839177818686
AA,2012-01-25,0.020924458039384586
AA,2012-01-26,0.02962527288440331
AA,2012-01-27,-0.010556304013737972
AA,2012-01-30,0.003925389527221768
AA,2012-01-31,0.007866208637684835
AA,2012-02-01,-0.009852208221485359
AA,2012-02-02,-0.013526465907364393
AA,2012-02-03,-0.05836134323131903
AA,2012-02-06,-0.031208140868790757
AA,2012-02-07,-0.027555264776572663
AA,2012-02-08,-0.019877784327191783
AA,2012-02-09,-0.019934055161093145
AA,2012-02-10,0.0029108073731745066
AA,2012-02-13,0.003864944216315447
AA,2012-02-14,-0.0039252829203237916
AA,2012-02-15,0.016691743262959857
AA,2012-02-16,-0.003899017956687789
AA,2012-02-17,-0.02797435946939686
AA,2012-02-21,-0.09463807979432692
AA,2012-02-22,-0.08333939024382708
AA,2012-02-23,-0.06824199784907714
AA,2012-02-24,-0.06128400647404897
AA,2012-02-27,-0.044583954427106054
AA,2012-02-28,-0.005802518955900116
AA,2012-02-29,0.010758227713887347
AA,2012-03-01,0.0077592204985590385
AA,2012-03-02,0.028875922520785302
AA,2012-03-05,0.0713543471378042
AA,2012-03-06,0.09751588874256756
AA,2012-03-07,0.07268595635630426
AA,2012-03-08,0.02426825566363977
AA,2012-03-09,0.03012266924053275
AA,2012-03-12,0.03484712383673738
AA,2012-03-13,-0.024547260459410136
AA,2012-03-14,-0.044761441653845324
AA,2012-03-15,-0.03140593397248592
AA,2012-03-16,-0.05059437526861155
AA,2012-03-19,-0.04141164003965292
AA,2012-03-20,-0.03707773704250217
AA,2012-03-21,-0.045824969320486186
AA,2012-03-22,-0.03870144395083397
AA,2012-03-23,-0.051761943286449785
AA,2012-03-26,-0.09218411875146515
AA,2012-03-27,-0.016032460158483364
AA,2012-03-28,0.03400321393995798
AA,2012-03-29,-0.018109128391068374
AA,2012-03-30,-0.01609733698853555
AA,2012-04-02,-0.017858037148635653
AA,2012-04-03,-0.010994533105417759
AA,2012-04-04,-0.005109827441163173
AA,2012-04-05,0.0072429064362053985
AA,2012-04-09,0.0031199715670355843
AA,2012-04-10,0.035830869377162955
AA,2012-04-11,-0.008113347234763868
AA,2012-04-12,-0.030956579979162235
AA,2012-04-13,-0.01020407921365507
AA,2012-04-16,-0.013271940939148852
AA,2012-04-17,-0.0020039382554499774
AA,2012-04-18,-0.022358760789529697
AA,2012-04-19,-0.018614603088594084
AA,2012-04-20,-0.034612814306673734
AA,2012-04-23,-0.03164812138422102
AA,2012-04-24,-0.04770356022382005
AA,2012-04-25,-0.07066748240050025
AA,2012-04-26,-0.0769273892897906
AA,2012-04-27,-0.07011416962385164
AA,2012-04-30,-0.08363389317825387
AA,2012-05-01,-0.13182481991609762
AA,2012-05-02,-0.13304055840218743
AA,2012-05-03,-0.11632774311476313
AA,2012-05-04,-0.10243232851131223
AA,2012-05-07,-0.0781885860950533
AA,2012-05-08,-0.07811668646096237
AA,2012-05-09,-0.05754567246978226
AA,2012-05-10,-0.05303006958155887
AA,2012-05-11,-0.048624845665812266
AA,2012-05-14,-0.003368645968577333
AA,2012-05-15,-0.015037436745679589
AA,2012-05-16,0.007042272811464745
AA,2012-05-17,-0.023810693572204666
AA,2012-05-18,-0.004756281254119976
AA,2012-05-21,-0.017595896834009306
AA,2012-05-22,0.017513100143837335
AA,2012-05-23,-0.006992617222140396
AA,2012-05-24,-0.012828066170555541
